b0001	thrL	ECK0001	P0AD86
b3862	yihG	ECK3854	P32129
b3863	polA	ECK3855	P00582
b3865	yihA	ECK3857	P0A6P7
b3866	yihI	ECK3859	P0A8H6
b3867	hemN	ECK3860	P32131
b4686	yshB	ECK4501	C1P620
b3868	glnG	ECK3861	P0AFB8
b3869	glnL	ECK3862	P0AFB5
b3870	glnA	ECK3863	P0A9C5
b3871	typA	ECK3864	P32132
b3872	yihL	ECK3865	P0ACM9
b3873	yihM	ECK3866	P32134
b3874	yihN	ECK3867	P32135
b3875	ompL	ECK3868	P76773
b3876	yihO	ECK3869	P32136
b3877	yihP	ECK3870	P32137
b3878	yihQ	ECK3871	P32138
b3879	yihR	ECK3872	P32139
b3880	yihS	ECK3873	P32140
b3881	yihT	ECK3874	P32141
b3882	yihU	ECK3875	P0A9V8
b3883	yihV	ECK3876	P32143
b3884	yihW	ECK3877	P32144
b3885	yihX	ECK3878	P0A8Y3
b3886	yihY	ECK3879	P0A8K8
b3887	dtd	ECK3880	P0A6M4
b3888	yiiD	ECK3881	P0ADQ2
b3889	yiiE	ECK3882	P0ADQ5
b3890	yiiF	ECK3883	P0AFU6
b3891	fdhE	ECK3884	P13024
b3892	fdoI	ECK3885	P0AEL0
b3893	fdoH	ECK3886	P0AAJ5
b3894	fdoG	ECK3887	P32176
b3895	fdhD	ECK3888	P32177
b3896	yiiG	ECK3889	P32151
b3897	frvR	ECK3890	P32152
b3898	frvX	ECK3891	P32153
b3899	frvB	ECK3892	P32154
b3900	frvA	ECK3893	P32155
b3901	rhaM	ECK3894	P32156
b3902	rhaD	ECK3895	P32169
b3903	rhaA	ECK3896	P32170
b3904	rhaB	ECK3897	P32171
b3905	rhaS	ECK3898	P09377
b3906	rhaR	ECK3899	P09378
b3907	rhaT	ECK3900	P27125
b3908	sodA	ECK3901	P00448
b3909	kdgT	ECK3902	P0A712
b3910	yiiM	ECK3903	P32157
b3911	cpxA	ECK3904	P0AE82
b3912	cpxR	ECK3905	P0AE88
b4484	cpxP	ECK3906	P0AE85
b3915	fieF	ECK3907	P69380
b3916	pfkA	ECK3908	P0A796
b3917	sbp	ECK3909	P0AG78
b3918	cdh	ECK3910	P06282
b3919	tpiA	ECK3911	P0A858
b3920	yiiQ	ECK3912	P32160
b3921	yiiR	ECK3913	P0AF34
b3922	yiiS	ECK3914	P32162
b3923	uspD	ECK3915	P0AAB8
b3924	fpr	ECK3916	P28861
b3925	glpX	ECK3917	P0A9C9
b3926	glpK	ECK3918	P0A6F3
b3927	glpF	ECK3919	P0AER0
b3928	zapB	ECK3920	P0AF36
b3929	rraA	ECK3921	P0A8R0
b3930	menA	ECK3922	P32166
b3931	hslU	ECK3923	P0A6H5
b3932	hslV	ECK3924	P0A7B8
b3933	ftsN	ECK3925	P29131
b3934	cytR	ECK3926	P0ACN7
b3935	priA	ECK3927	P17888
b3936	rpmE	ECK3928	P0A7M9
b3937	yiiX	ECK3929	P32167
b3938	metJ	ECK3930	P0A8U6
b3939	metB	ECK3931	P00935
b3940	metL	ECK3932	P00562
b3941	metF	ECK3933	P0AEZ1
b3942	katG	ECK3934	P13029
b3943	yijE	ECK3935	P0ABT8
b3944	yijF	ECK3936	P32668
b3945	gldA	ECK3937	P0A9S5
b3946	fsaB	ECK3938	P32669
b3947	frwA	ECK3939	P32670
b3949	frwC	ECK3940	P32672
b3950	frwB	ECK3941	P69816
b3951	pflD	ECK3942	P32674
b3952	pflC	ECK3943	P32675
b3953	frwD	ECK3944	P32676
b3954	yijO	ECK3945	P32677
b3955	eptC	ECK3946	P0CB39
b3956	ppc	ECK3947	P00864
b3957	argE	ECK3948	P23908
b3958	argC	ECK3949	P11446
b3959	argB	ECK3950	P0A6C8
b3960	argH	ECK3951	P11447
b3961	oxyR	ECK3953	P0ACQ4
b3962	sthA	ECK3954	P27306
b3963	fabR	ECK3955	P0ACU5
b3964	yijD	ECK3956	P0AF40
b3965	trmA	ECK3957	P23003
b3966	btuB	ECK3958	P06129
b3967	murI	ECK3959	P22634
b3972	murB	ECK3964	P08373
b3973	birA	ECK3965	P06709
b3974	coaA	ECK3966	P0A6I3
b3980	tufB	ECK3971	P0CE48
b3981	secE	ECK3972	P0AG96
b3982	nusG	ECK3973	P0AFG0
b3983	rplK	ECK3974	P0A7J7
b3984	rplA	ECK3975	P0A7L0
b3985	rplJ	ECK3976	P0A7J3
b3986	rplL	ECK3977	P0A7K2
b3987	rpoB	ECK3978	P0A8V2
b3988	rpoC	ECK3979	P0A8T7
b3989	yjaZ	ECK3980	P27375
b3990	thiH	ECK3981	P30140
b3991	thiG	ECK3982	P30139
b4407	thiS	ECK3983	O32583
b3992	thiF	ECK3984	P30138
b3993	thiE	ECK3985	P30137
b3994	thiC	ECK3986	P30136
b3995	rsd	ECK3987	P0AFX4
b3996	nudC	ECK3988	P32664
b3997	hemE	ECK3989	P29680
b3998	nfi	ECK3990	P68739
b3999	yjaG	ECK3991	P32680
b4000	hupA	ECK3992	P0ACF0
b4001	yjaH	ECK3993	P32681
b4002	zraP	ECK3994	P0AAA9
b4003	zraS	ECK3995	P14377
b4004	zraR	ECK3996	P14375
b4005	purD	ECK3997	P15640
b4006	purH	ECK3998	P15639
b4011	yjaA	ECK4003	P09162
b4012	yjaB	ECK4004	P09163
b4013	metA	ECK4005	P07623
b4014	aceB	ECK4006	P08997
b4015	aceA	ECK4007	P0A9G6
b4016	aceK	ECK4008	P11071
b4017	arpA	ECK4009	P23325
b4018	iclR	ECK4010	P16528
b4019	metH	ECK4011	P13009
b4020	yjbB	ECK4012	P0AF43
b4021	pepE	ECK4013	P0A7C6
b4022	rluF	ECK4014	P32684
b4023	yjbD	ECK4015	P32685
b4024	lysC	ECK4016	P08660
b4025	pgi	ECK4017	P0A6T1
b4026	yjbE	ECK4018	P0AF45
b4027	yjbF	ECK4019	P32687
b4028	yjbG	ECK4020	P32688
b4029	yjbH	ECK4021	P32689
b4620	yjbT	ECK4428	A5A628
b4030	psiE	ECK4022	P0A7C8
b4031	xylE	ECK4023	P0AGF4
b4032	malG	ECK4024	P68183
b4033	malF	ECK4025	P02916
b4034	malE	ECK4026	P0AEX9
b4035	malK	ECK4027	P68187
b4036	lamB	ECK4028	P02943
b4037	malM	ECK4029	P03841
b4039	ubiC	ECK4031	P26602
b4040	ubiA	ECK4032	P0AGK1
b4041	plsB	ECK4033	P0A7A7
b4042	dgkA	ECK4034	P0ABN1
b4043	lexA	ECK4035	P0A7C2
b4044	dinF	ECK4036	P28303
b4045	yjbJ	ECK4037	P68206
b4046	zur	ECK4038	P0AC51
b4047	yjbL	ECK4039	P32693
b4048	yjbM	ECK4040	P32694
b4049	dusA	ECK4041	P32695
b4050	pspG	ECK4042	P32696
b4051	qorA	ECK4043	P28304
b4052	dnaB	ECK4044	P0ACB0
b4053	alr	ECK4045	P0A6B4
b4054	tyrB	ECK4046	P04693
b4621	yjbS	ECK4429	P58036
b4055	aphA	ECK4047	P0AE22
b4056	yjbQ	ECK4048	P0AF48
b4057	yjbR	ECK4049	P0AF50
b4058	uvrA	ECK4050	P0A698
b4059	ssb	ECK4051	P0AGE0
b4060	yjcB	ECK4052	P32700
b4061	yjcC	ECK4053	P32701
b4062	soxS	ECK4054	P0A9E2
b4063	soxR	ECK4055	P0ACS2
b4064	yjcD	ECK4057	P0AF52
b4065	yjcE	ECK4058	P32703
b4066	yjcF	ECK4059	P32704
b4067	actP	ECK4060	P32705
b4068	yjcH	ECK4061	P0AF54
b4069	acs	ECK4062	P27550
b4070	nrfA	ECK4063	P0ABK9
b4071	nrfB	ECK4064	P0ABL1
b4072	nrfC	ECK4065	P0AAK7
b4073	nrfD	ECK4066	P32709
b4074	nrfE	ECK4067	P32710
b4075	nrfF	ECK4068	P32711
b4076	nrfG	ECK4069	P32712
b4077	gltP	ECK4070	P21345
b4078	yjcO	ECK4071	P0AF56
b4079	fdhF	ECK4072	P07658
b4080	mdtP	ECK4073	P32714
b4081	mdtO	ECK4074	P32715
b4082	mdtN	ECK4075	P32716
b4622	ytcA	ECK4430	A5A630
b4083	yjcS	ECK4076	P32717
b4084	alsK	ECK4077	P32718
b4085	alsE	ECK4078	P32719
b4086	alsC	ECK4079	P32720
b4087	alsA	ECK4080	P32721
b4088	alsB	ECK4081	P39265
b4089	alsR	ECK4082	P0ACS7
b4090	rpiB	ECK4083	P37351
b4487	yjdP	ECK4084	Q6BEX5
b4092	phnP	ECK4085	P16692
b4093	phnO	ECK4086	P16691
b4094	phnN	ECK4087	P16690
b4095	phnM	ECK4088	P16689
b4096	phnL	ECK4089	P16679
b4097	phnK	ECK4090	P16678
b4098	phnJ	ECK4091	P16688
b4099	phnI	ECK4092	P16687
b4100	phnH	ECK4093	P16686
b4101	phnG	ECK4094	P16685
b4102	phnF	ECK4095	P16684
b4105	phnD	ECK4098	P16682
b4106	phnC	ECK4099	P16677
b4107	yjdN	ECK4100	P16681
b4108	yjdM	ECK4101	P0AFJ1
b4109	crfC	ECK4102	P16694
b4110	yjcZ	ECK4103	P39267
b4111	proP	ECK4104	P0C0L7
b4703	pmrR	ECK4515	G3MTW7
b4112	basS	ECK4105	P30844
b4113	basR	ECK4106	P30843
b4114	eptA	ECK4107	P30845
b4115	adiC	ECK4108	P60061
b4116	adiY	ECK4109	P33234
b4117	adiA	ECK4110	P28629
b4118	melR	ECK4111	P0ACH8
b4119	melA	ECK4112	P06720
b4120	melB	ECK4113	P02921
b4121	yjdF	ECK4114	P39270
b4122	fumB	ECK4115	P14407
b4123	dcuB	ECK4116	P0ABN9
b4124	dcuR	ECK4117	P0AD01
b4125	dcuS	ECK4118	P0AEC8
b4126	yjdI	ECK4119	P0AF59
b4127	yjdJ	ECK4120	P39274
b4128	yjdK	ECK4121	P0AF61
b4559	yjdO	ECK4122	P64646
b4129	lysU	ECK4123	P0A8N5
b4130	dtpC	ECK4124	P39276
b4131	cadA	ECK4125	P0A9H3
b4132	cadB	ECK4126	P0AAE8
b4133	cadC	ECK4127	P23890
b4135	yjdC	ECK4129	P0ACU7
b4136	dsbD	ECK4130	P36655
b4137	cutA	ECK4131	P69488
b4138	dcuA	ECK4132	P0ABN5
b4139	aspA	ECK4133	P0AC38
b4140	fxsA	ECK4134	P37147
b4141	yjeH	ECK4135	P39277
b4142	groS	ECK4136	P0A6F9
b4143	groL	ECK4137	P0A6F5
b4144	yjeI	ECK4138	P0AF70
b4145	yjeJ	ECK4139	P39279
b4146	epmB	ECK4140	P39280
b4147	efp	ECK4141	P0A6N4
b4410	ecnA	ECK4142	P0ADB4
b4411	ecnB	ECK4143	P0ADB7
b4148	sugE	ECK4144	P69937
b4149	blc	ECK4145	P0A901
b4150	ampC	ECK4146	P00811
b4151	frdD	ECK4147	P0A8Q3
b4152	frdC	ECK4148	P0A8Q0
b4153	frdB	ECK4149	P0AC47
b4154	frdA	ECK4150	P00363
b4155	epmA	ECK4151	P0A8N7
b4156	yjeM	ECK4152	P39282
b4157	yjeN	ECK4153	P39283
b4158	yjeO	ECK4154	P39284
b4159	mscM	ECK4155	P39285
b4160	psd	ECK4156	P0A8K1
b4161	rsgA	ECK4157	P39286
b4162	orn	ECK4158	P0A784
b4670	yjeV	ECK4485	C1P621
b4166	queG	ECK4162	P39288
b4167	nnr	ECK4163	P31806
b4168	tsaE	ECK4164	P0AF67
b4169	amiB	ECK4165	P26365
b4170	mutL	ECK4166	P23367
b4171	miaA	ECK4167	P16384
b4172	hfq	ECK4168	P0A6X3
b4173	hflX	ECK4169	P25519
b4174	hflK	ECK4170	P0ABC7
b4175	hflC	ECK4171	P0ABC3
b4176	yjeT	ECK4172	P0AF73
b4177	purA	ECK4173	P0A7D4
b4178	nsrR	ECK4174	P0AF63
b4179	rnr	ECK4175	P21499
b4180	rlmB	ECK4176	P63177
b4181	yjfI	ECK4177	P0AF76
b4182	yjfJ	ECK4178	P0AF78
b4183	yjfK	ECK4179	P39293
b4184	yjfL	ECK4180	P0AF80
b4185	yjfM	ECK4181	P39295
b4186	yjfC	ECK4182	P33222
b4187	aidB	ECK4183	P33224
b4188	yjfN	ECK4184	P0AF82
b4189	bsmA	ECK4185	P39297
b4190	yjfP	ECK4186	P39298
b4191	ulaR	ECK4187	P0A9W0
b4192	ulaG	ECK4188	P39300
b4193	ulaA	ECK4189	P39301
b4194	ulaB	ECK4190	P69822
b4195	ulaC	ECK4191	P69820
b4196	ulaD	ECK4192	P39304
b4197	ulaE	ECK4193	P39305
b4198	ulaF	ECK4194	P39306
b4199	yjfY	ECK4195	P0AF86
b4200	rpsF	ECK4196	P02358
b4201	priB	ECK4197	P07013
b4202	rpsR	ECK4198	P0A7T7
b4203	rplI	ECK4199	P0A7R1
b4204	yjfZ	ECK4200	P39308
b4206	ytfB	ECK4202	P39310
b4207	fklB	ECK4203	P0A9L3
b4208	cycA	ECK4204	P0AAE0
b4209	ytfE	ECK4205	P69506
b4210	ytfF	ECK4206	P39314
b4211	qorB	ECK4207	P39315
b4212	ytfH	ECK4208	P0ACN2
b4213	cpdB	ECK4209	P08331
b4214	cysQ	ECK4210	P22255
b4215	ytfI	ECK4211	P39317
b4216	ytfJ	ECK4212	P39187
b4217	ytfK	ECK4213	P0ADE2
b4218	ytfL	ECK4214	P0AE45
b4219	msrA	ECK4215	P0A744
b4220	tamA	ECK4216	P0ADE4
b4221	tamB	ECK4217	P39321
b4222	ytfP	ECK4218	P0AE48
b4224	chpS	ECK4220	P08365
b4225	chpB	ECK4221	P33647
b4226	ppa	ECK4222	P0A7A9
b4227	ytfQ	ECK4223	P39325
b4485	ytfR	ECK4224	Q6BEX0
b4230	ytfT	ECK4225	P39328
b4231	yjfF	ECK4226	P37772
b4232	fbp	ECK4227	P0A993
b4233	mpl	ECK4228	P37773
b4234	yjgA	ECK4229	P0A8X0
b4235	pmbA	ECK4230	P0AFK0
b4237	nrdG	ECK4232	P0A9N8
b4238	nrdD	ECK4233	P28903
b4239	treC	ECK4234	P28904
b4240	treB	ECK4235	P36672
b4241	treR	ECK4236	P36673
b4702	mgtL	ECK4513	E2JKY7
b4242	mgtA	ECK4237	P0ABB8
b4243	ridA	ECK4238	P0AF93
b4244	pyrI	ECK4239	P0A7F3
b4245	pyrB	ECK4240	P0A786
b4246	pyrL	ECK4241	P0AD83
b4248	yjgH	ECK4242	P39332
b4249	bdcA	ECK4243	P39333
b4251	bdcR	ECK4244	P39334
b4252	tabA	ECK4245	P0AF96
b4253	yjgL	ECK4246	P39336
b4254	argI	ECK4247	P04391
b4255	rraB	ECK4248	P0AF90
b4256	yjgM	ECK4249	P39337
b4257	yjgN	ECK4250	P39338
b4258	valS	ECK4251	P07118
b4259	holC	ECK4252	P28905
b4260	pepA	ECK4253	P68767
b4261	lptF	ECK4254	P0AF98
b4262	lptG	ECK4255	P0ADC6
b4263	yjgR	ECK4256	P39342
b4264	idnR	ECK4257	P39343
b4265	idnT	ECK4258	P39344
b4266	idnO	ECK4259	P0A9P9
b4267	idnD	ECK4260	P39346
b4268	idnK	ECK4261	P39208
b4269	ahr	ECK4262	P27250
b4272	insC1	ECK0357	P0CF45
b4273	insD1	ECK0358	P0CF58
b4277	yjgZ	ECK4267	P39351
b4278	insG	ECK4268	P03835
b4279	yjhB	ECK4269	P39352
b4280	yjhC	ECK4270	P39353
b4655	ythA	ECK4434	A8DYQ1
b4284	insI1	ECK0258	P0CF90
b4287	fecE	ECK4277	P15031
b4288	fecD	ECK4278	P15029
b4289	fecC	ECK4279	P15030
b4290	fecB	ECK4280	P15028
b4291	fecA	ECK4281	P13036
b4292	fecR	ECK4282	P23485
b4293	fecI	ECK4283	P23484
b4294	insA	ECK4562	P0CF12
b4295	yjhU	ECK4284	P39356
b4296	yjhF	ECK4285	P39357
b4297	yjhG	ECK4286	P39358
b4298	yjhH	ECK4287	P39359
b4299	yjhI	ECK4288	P39360
b4300	sgcR	ECK4289	P39361
b4301	sgcE	ECK4290	P39362
b4302	sgcA	ECK4291	P39363
b4303	sgcQ	ECK4292	P39364
b4304	sgcC	ECK4293	P39365
b4565	sgcB	ECK4294	P58035
b4305	sgcX	ECK4295	P39366
b4306	yjhP	ECK4296	P39367
b4307	yjhQ	ECK4297	P39368
b4566	yjhX	ECK4298	Q2EEU2
b4309	nanS	ECK4300	P39370
b4310	nanM	ECK4301	P39371
b4311	nanC	ECK4302	P69856
b4312	fimB	ECK4303	P0ADH5
b4313	fimE	ECK4304	P0ADH7
b4314	fimA	ECK4305	P04128
b4315	fimI	ECK4306	P39264
b4316	fimC	ECK4307	P31697
b4317	fimD	ECK4308	P30130
b4318	fimF	ECK4309	P08189
b4319	fimG	ECK4310	P08190
b4320	fimH	ECK4311	P08191
b4321	gntP	ECK4312	P0AC94
b4322	uxuA	ECK4313	P24215
b4323	uxuB	ECK4314	P39160
b4324	uxuR	ECK4315	P39161
b4325	yjiC	ECK4316	P39374
b4326	iraD	ECK4317	P39375
b4327	hypT	ECK4318	P39376
b4328	iadA	ECK4319	P39377
b4329	yjiG	ECK4320	P0AEH8
b4330	yjiH	ECK4321	P39379
b4331	kptA	ECK4322	P39380
b4332	yjiJ	ECK4323	P39381
b4333	yjiK	ECK4324	P39382
b4334	yjiL	ECK4325	P39383
b4335	yjiM	ECK4326	P39384
b4336	yjiN	ECK4327	P39385
b4337	mdtM	ECK4328	P39386
b4340	yjiR	ECK4331	P39389
b4341	yjiS	ECK4332	P39390
b4345	mcrC	ECK4335	P15006
b4346	mcrB	ECK4336	P15005
b4347	symE	ECK4337	P39394
b4348	hsdS	ECK4338	P05719
b4349	hsdM	ECK4339	P08957
b4350	hsdR	ECK4340	P08956
b4351	mrr	ECK4341	P24202
b4352	yjiA	ECK4342	P24203
b4353	yjiX	ECK4343	P0ADC8
b4354	yjiY	ECK4344	P39396
b4355	tsr	ECK4345	P02942
b4356	yjjL	ECK4346	P39398
b4357	yjjM	ECK4347	P39399
b4358	yjjN	ECK4348	P39400
b4359	opgB	ECK4349	P39401
b4360	yjjA	ECK4350	P18390
b4361	dnaC	ECK4351	P0AEF0
b4362	dnaT	ECK4352	P0A8J2
b4363	yjjB	ECK4353	P0ADD2
b4364	yjjP	ECK4354	P0ADD5
b4365	yjjQ	ECK4355	P0ADD7
b4366	bglJ	ECK4356	P39404
b4367	fhuF	ECK4357	P39405
b4567	yjjZ	ECK4358	P55914
b4371	rsmC	ECK4362	P39406
b4372	holD	ECK4363	P28632
b4373	rimI	ECK4364	P0A944
b4374	yjjG	ECK4365	P0A8Y1
b4375	prfC	ECK4366	P0A7I4
b4376	osmY	ECK4367	P0AFH8
b4568	ytjA	ECK4368	Q2M5U1
b4377	yjjU	ECK4369	P39407
b4378	yjjV	ECK4370	P39408
b4379	yjjW	ECK4371	P39409
b4380	yjjI	ECK4372	P37342
b4381	deoC	ECK4373	P0A6L0
b4382	deoA	ECK4374	P07650
b4383	deoB	ECK4375	P0A6K6
b4384	deoD	ECK4376	P0ABP8
b4385	yjjJ	ECK4377	P39410
b4386	lplA	ECK4378	P32099
b4387	ytjB	ECK4379	P0AGC7
b4388	serB	ECK4380	P0AGB0
b4389	radA	ECK4381	P24554
b4390	nadR	ECK4382	P27278
b4391	yjjK	ECK4383	P0A9W3
b4392	slt	ECK4384	P0AGC3
b4393	trpR	ECK4385	P0A881
b4394	yjjX	ECK4386	P39411
b4395	ytjC	ECK4387	P0A7A2
b4396	rob	ECK4388	P0ACI0
b4397	creA	ECK4389	P0AE91
b4398	creB	ECK4390	P08368
b4399	creC	ECK4391	P08401
b4400	creD	ECK4392	P08369
b4401	arcA	ECK4393	P0A9Q1
b4402	yjjY	ECK4394	P0ADD9
b4403	yjtD	ECK4395	P37005
